Date,High,Low,Open,Close,Volume,Adj Close
2006-02-22,1015.8900146484375,996.9199829101562,1000.8599853515625,1012.97998046875,0.0,1012.97998046875
2006-02-23,1018.8099975585938,1008.489990234375,1010.9299926757812,1009.1900024414062,0.0,1009.1900024414062
2006-02-24,1014.9099731445312,1006.6099853515625,1008.989990234375,1012.0700073242188,0.0,1012.0700073242188
2006-02-27,1024.5699462890625,1012.8699951171875,1013.6099853515625,1021.0700073242188,0.0,1021.0700073242188
2006-02-28,1024.3399658203125,1006.9099731445312,1019.1699829101562,1009.8400268554688,0.0,1009.8400268554688
2006-03-01,1036.9200439453125,1014.7000122070312,1014.8099975585938,1035.2099609375,0.0,1035.2099609375
2006-03-02,1041.199951171875,1030.6099853515625,1031.010009765625,1037.719970703125,0.0,1037.719970703125
2006-03-03,1050.4000244140625,1029.8599853515625,1030.530029296875,1036.260009765625,0.0,1036.260009765625
2006-03-06,1040.77001953125,1018.3200073242188,1039.2099609375,1023.0399780273438,0.0,1023.0399780273438
2006-03-07,1018.1400146484375,1006.1300048828125,1018.1400146484375,1010.9500122070312,0.0,1010.9500122070312
2006-03-08,1014.219970703125,998.9199829101562,1006.5499877929688,1008.3499755859375,0.0,1008.3499755859375
2006-03-09,1022.0499877929688,1003.5999755859375,1013.7100219726562,1003.5999755859375,0.0,1003.5999755859375
2006-03-10,1011.5800170898438,994.8099975585938,1003.8599853515625,1003.1400146484375,0.0,1003.1400146484375
2006-03-13,1014.6300048828125,1004.7100219726562,1007.25,1006.1500244140625,0.0,1006.1500244140625
2006-03-14,1020.760009765625,1002.8300170898438,1002.8300170898438,1019.239990234375,0.0,1019.239990234375
2006-03-15,1032.0999755859375,1020.8800048828125,1023.1699829101562,1032.030029296875,0.0,1032.030029296875
2006-03-16,1039.0999755859375,1019.260009765625,1037.0999755859375,1019.27001953125,0.0,1019.27001953125
2006-03-17,1028.0,1014.780029296875,1020.8499755859375,1024.93994140625,0.0,1024.93994140625
2006-03-20,1030.1600341796875,1022.0700073242188,1027.8499755859375,1025.9599609375,0.0,1025.9599609375
2006-03-21,1042.8599853515625,1020.2100219726562,1026.449951171875,1021.1099853515625,0.0,1021.1099853515625
2006-03-22,1027.5999755859375,1014.1900024414062,1014.77001953125,1026.2099609375,0.0,1026.2099609375
2006-03-23,1029.199951171875,1018.739990234375,1024.199951171875,1025.9100341796875,0.0,1025.9100341796875
2006-03-24,1037.0899658203125,1026.010009765625,1029.6500244140625,1033.77001953125,0.0,1033.77001953125
2006-03-27,1038.77001953125,1032.06005859375,1032.77001953125,1034.010009765625,0.0,1034.010009765625
2006-03-28,1040.550048828125,1025.030029296875,1032.469970703125,1028.27001953125,0.0,1028.27001953125
2006-03-29,1053.0799560546875,1029.9599609375,1031.4100341796875,1048.760009765625,0.0,1048.760009765625
2006-03-30,1058.68994140625,1046.68994140625,1052.4000244140625,1053.31005859375,0.0,1053.31005859375
2006-03-31,1057.8199462890625,1046.9599609375,1055.8599853515625,1048.800048828125,0.0,1048.800048828125
